Cluster,Subcluster,Domain,Format Loads,Impressions,Format Fill Rate,Viewability Rate,Efficiency Rate,CPM,Clicks,CTR,Category,Category importance,Country,Geographical zone,Geographical zone importance
4,1,mediavida.com,49269.54666666667,2952.49,4.330233333333334,60.26009999999996,69.06906666666666,1.2840999999999996,10.636666666666667,0.2641000000000001,Tech & Gaming,1.9816695566014368,Peru,South America,53.27
4,1,hinchaamarillo.com,48290.32513661201,3946.357923497268,8.637978142076504,81.19008196721313,94.82674863387967,1.69385245901639,35.69398907103825,0.9218579234972678,Sports,7.629427792915531,Ecuador,South America,53.27
4,1,cinepremiere.com.mx,47904.39071038251,6780.284153005465,19.49762295081969,84.05510928961748,97.16663934426225,1.5822131147540943,19.530054644808747,0.29983606557377057,Movies & Television,3.5670052018825857,Mexico,South America,53.27
4,1,tijolaco.net,47841.45081967213,8918.691256830602,19.51784153005466,86.15363387978144,98.32185792349728,1.5905464480874285,42.57377049180328,0.5733879781420766,Community & Culture,6.613822145157296,Brazil,South America,53.27
4,1,rd1.com.br,47707.514285714286,17925.282142857144,23.26028571428572,52.613321428571396,64.44517857142853,1.0232142857142863,33.64642857142857,0.1191785714285714,Glamour,4.756006935843448,Brazil,South America,53.27
4,1,acordesweb.com,47599.83333333334,1107.0,2.1166666666666667,91.245,70.87166666666667,1.528333333333333,9.666666666666666,0.6816666666666666,Music & Radio,5.622987366856576,Argentina,South America,53.27
4,1,futbol.com.uy,46679.24653739613,3847.9002770083107,8.34972299168975,82.41072022160665,95.65703601108036,1.775512465373962,24.06371191135734,0.5386149584487535,Sports,7.629427792915531,Uruguay,South America,53.27
4,1,frasesparawhats.com.br,46326.16285714286,3882.3314285714287,5.673542857142852,54.48354285714289,69.1718571428571,1.212885714285715,19.89142857142857,0.30008571428571457,Community & Culture,6.613822145157296,Brazil,South America,53.27
4,1,cokitos.com,46091.68595041322,1527.922865013774,2.8871074380165296,59.43881542699727,73.41548209366387,1.3578787878787866,13.126721763085401,0.6312121212121216,Casual Games,0.6440426058954669,Mexico,South America,53.27
4,1,correomagico.com,45809.50750750751,1558.6216216216214,3.5959459459459464,79.08063063063061,94.86336336336329,1.6835435435435415,15.588588588588589,1.012222222222222,Community & Culture,6.613822145157296,Argentina,South America,53.27
4,1,milejemplos.com,45106.94520547945,3972.328767123288,9.235342465753428,74.02720547945212,94.58876712328771,1.6840273972602708,34.410958904109584,0.8284109589041093,B-to-B,1.5110230369085955,Colombia,South America,53.27
